work_year,salary_in_usd,salary_category,salary_quartile,salary_quartile_encoded,remote_type,PC1,employment_type_CT,employment_type_FL,employment_type_FT,employment_type_PT,remote_type__Fully,remote_type__Hybrid,remote_type__On-site
2024,55000,Medium,Q1,0,On-site,-32.0440298363377,False,False,True,False,False,False,True
2024,247600,Very High,Q4,3,On-site,-32.04666486176144,False,False,True,False,False,False,True
2024,127300,High,Q2,1,On-site,-32.04447401454192,False,False,True,False,False,False,True
2024,210000,Very High,Q4,3,On-site,-32.04586427206475,False,False,True,False,False,False,True
2024,170000,High,Q3,2,On-site,-32.04513581081137,False,False,True,False,False,False,True
2024,222200,Very High,Q4,3,On-site,-32.04669646468044,False,False,True,False,False,False,True
2024,136000,High,Q2,1,On-site,-32.04512663067941,False,False,True,False,False,False,True
2024,200000,Very High,Q4,3,Fully,67.95373294250786,False,False,True,False,True,False,False
2024,151300,High,Q3,2,Fully,67.95461984408384,False,False,True,False,True,False,False
2024,110000,High,Q2,1,Fully,67.95537198032795,False,False,True,False,True,False,False
2024,90000,Medium,Q1,0,Fully,67.95573621095464,False,False,True,False,True,False,False
2024,156000,High,Q3,2,On-site,-32.04586920100247,False,False,True,False,False,False,True
2024,94000,Medium,Q1,0,On-site,-32.04474008605974,False,False,True,False,False,False,True
2024,212800,Very High,Q4,3,On-site,-32.04652527628589,False,False,True,False,False,False,True
2024,124100,High,Q2,1,On-site,-32.044909913456536,False,False,True,False,False,False,True
2024,195000,High,Q4,3,On-site,-32.04608527490962,False,False,True,False,False,False,True
2024,140000,High,Q2,1,On-site,-32.04508364068623,False,False,True,False,False,False,True
2024,199068,High,Q4,3,On-site,-32.0456651836042,False,False,True,False,False,False,True
2024,150000,High,Q3,2,On-site,-32.04477158018468,False,False,True,False,False,False,True
2024,250900,Very High,Q4,3,On-site,-32.04611494788143,False,False,True,False,False,False,True
2024,173100,High,Q3,2,On-site,-32.044698090743616,False,False,True,False,False,False,True
2024,95000,Medium,Q1,0,On-site,-32.04426412177618,False,False,True,False,False,False,True
2024,80000,Medium,Q1,0,On-site,-32.04399094880617,False,False,True,False,False,False,True
2024,66666,Medium,Q1,0,On-site,-32.04424229206224,False,False,True,False,False,False,True
2024,44444,Low,Q1,0,On-site,-32.04383759541293,False,False,True,False,False,False,True
2024,138000,High,Q2,1,On-site,-32.04455304180867,False,False,True,False,False,False,True
2024,86000,Medium,Q1,0,On-site,-32.043606042179285,False,False,True,False,False,False,True
2024,186754,High,Q4,3,On-site,-32.045440926807345,False,False,True,False,False,False,True
2024,101000,High,Q1,0,On-site,-32.043879215149296,False,False,True,False,False,False,True
2024,234000,Very High,Q4,3,On-site,-32.04630134881677,False,False,True,False,False,False,True
2024,146000,High,Q3,2,On-site,-32.044698734059345,False,False,True,False,False,False,True
2024,96200,Medium,Q1,0,Fully,67.95562329946037,False,False,True,False,True,False,False
2024,69800,Medium,Q1,0,Fully,67.9561040838876,False,False,True,False,True,False,False
2024,96200,Medium,Q1,0,Fully,67.95611747527526,False,False,True,False,True,False,False
2024,69800,Medium,Q1,0,Fully,67.95659825970249,False,False,True,False,True,False,False
2024,170000,High,Q3,2,On-site,-32.04513581081137,False,False,True,False,False,False,True
2024,150000,High,Q3,2,On-site,-32.04477158018468,False,False,True,False,False,False,True
2024,157500,High,Q3,2,On-site,-32.04540234248458,False,False,True,False,False,False,True
2024,149900,High,Q3,2,On-site,-32.04526393484644,False,False,True,False,False,False,True
2024,169000,High,Q3,2,On-site,-32.04511759928003,False,False,True,False,False,False,True
2024,105000,High,Q2,1,On-site,-32.04395206127464,False,False,True,False,False,False,True
2024,148017,High,Q3,2,Fully,67.95517380835611,False,False,True,False,True,False,False
2024,87069,Medium,Q1,0,Fully,67.95628376476787,False,False,True,False,True,False,False
2024,106336,High,Q2,1,On-site,-32.044470567695384,False,False,True,False,False,False,True
2024,83150,Medium,Q1,0,On-site,-32.04404831512987,False,False,True,False,False,False,True
2024,130000,High,Q2,1,Fully,67.95500774970127,False,False,True,False,True,False,False
2024,91000,Medium,Q1,0,Fully,67.9557179994233,False,False,True,False,True,False,False
2024,149925,High,Q3,2,On-site,-32.04477021431983,False,False,True,False,False,False,True
2024,91260,Medium,Q1,0,On-site,-32.0437018348341,False,False,True,False,False,False,True
2024,185000,High,Q3,2,On-site,-32.045408983781385,False,False,True,False,False,False,True
2024,25000,Low,Q1,0,On-site,-32.04249513876788,False,False,True,False,False,False,True
2024,155000,High,Q3,2,Fully,67.9550466372328,False,False,True,False,True,False,False
2024,120000,High,Q2,1,Fully,67.9556840408295,False,False,True,False,True,False,False
2024,209700,Very High,Q4,3,On-site,-32.045858808605345,False,False,True,False,False,False,True
2024,144600,High,Q3,2,On-site,-32.044673237915475,False,False,True,False,False,False,True
2024,175000,High,Q3,2,On-site,-32.04522686846804,False,False,True,False,False,False,True
2024,117000,High,Q2,1,On-site,-32.04417059965065,False,False,True,False,False,False,True
2024,77280,Medium,Q1,0,On-site,-32.04394141344093,False,False,True,False,False,False,True
2024,58000,Medium,Q1,0,On-site,-32.04359029511681,False,False,True,False,False,False,True
2024,170200,High,Q3,2,Fully,67.95476982195652,False,False,True,False,True,False,False
2024,125800,High,Q2,1,Fully,67.95557841394776,False,False,True,False,True,False,False
2024,202730,Very High,Q4,3,Fully,67.95417740084221,False,False,True,False,True,False,False
2024,92118,Medium,Q1,0,Fully,67.95619181474616,False,False,True,False,True,False,False
2024,125000,High,Q2,1,Fully,67.95509880735794,False,False,True,False,True,False,False
2024,100000,High,Q1,0,Fully,67.95555409564129,False,False,True,False,True,False,False
2024,200000,Very High,Q4,3,Fully,67.95422711832275,False,False,True,False,True,False,False
2024,160000,High,Q3,2,Fully,67.95495557957612,False,False,True,False,True,False,False
2024,157144,High,Q3,2,On-site,-32.04539585917942,False,False,True,False,False,False,True
2024,93101,Medium,Q1,0,On-site,-32.04422953807818,False,False,True,False,False,False,True
2024,160769,High,Q3,2,On-site,-32.04496770016562,False,False,True,False,False,False,True
2024,115384,High,Q2,1,On-site,-32.04414116981601,False,False,True,False,False,False,True
2024,260000,Very High,Q4,3,On-site,-32.04689068474999,False,False,True,False,False,False,True
2024,136000,High,Q2,1,On-site,-32.04463245486453,False,False,True,False,False,False,True
2024,189000,High,Q4,3,On-site,-32.04548182990672,False,False,True,False,False,False,True
2024,145400,High,Q3,2,On-site,-32.04468780714054,False,False,True,False,False,False,True
